Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
,Solok Selatan,83.20,82.16,85.60,78.91,6,6,6,6,41.30,41.09,38.31,42.74,12047.91,13288.45,13057.27,14472.00,71.36,72.24,73.17,74.01,8.41,8.70,8.85,9.20,95.15,95.33,95.61,95.78,99.18,99.32,98.61,97.18,76.79,82.23,83.97,73.91,55.33,54.69,56.71,60.32,71.89,72.22,72.50,72.77,0.80,0.80,0.81,0.81,,,60,55,65.65,68.14,,81.67
,Dharmasraya,81.15,84.38,84.98,78.67,6,6,6,6,47.63,45.77,45.36,49.39,9984.60,9619.48,10318.73,9529.00,73.19,73.87,74.82,75.70,8.74,8.83,8.98,9.31,89.04,89.58,90.26,90.63,99.31,98.94,98.34,98.15,76.64,76.47,80.57,78.00,81.09,81.57,85.99,83.12,73.84,74.04,74.25,74.34,0.83,0.83,0.83,0.84,,,75,82,54.58,59.82,,68.16
,Pasaman Barat,80.82,80.67,80.91,78.67,6,6,6,6,50.19,48.82,46.47,44.22,10025.27,9762.34,10005.67,12432.00,71.39,72.03,72.78,73.69,8.54,8.80,9.03,9.28,89.94,90.12,90.40,90.78,98.28,98.38,99.12,98.31,82.41,81.75,83.54,80.48,68.98,71.64,73.49,74.02,72.14,72.44,72.75,73.17,0.80,0.81,0.81,0.82,,,91,102,58.23,63.44,,71.79
,Kota Padang,84.14,88.33,89.63,82.57,6,6,6,6,51.08,52.69,48.61,50.41,8857.74,11011.24,10118.08,7918.00,83.69,83.98,84.38,84.93,11.62,11.64,11.67,11.64,94.44,94.45,94.67,94.80,98.20,98.72,99.24,97.17,81.59,80.55,83.08,88.44,76.10,78.56,78.22,80.28,74.71,74.94,75.20,75.59,0.84,0.85,0.85,0.86,,,223,230,75.65,78.94,,81.64
,Kota Solok,84.44,92.87,92.90,85.92,6,6,6,6,64.66,62.99,56.78,58.28,2156.94,2662.43,2139.76,1766.00,79.35,79.66,80.06,80.90,11.37,11.38,11.39,11.38,96.86,96.77,96.86,97.09,99.69,99.85,99.62,94.78,75.96,77.36,80.34,80.85,92.47,94.35,92.19,93.09,74.31,74.56,74.85,75.30,0.84,0.84,0.84,0.85,,,31,33,89.89,93.48,,97.29
,Kota Sawah Lunto,73.85,84.38,83.45,78.81,6,6,6,6,62.61,63.29,54.55,56.01,1852.64,1938.03,2040.3,1811.00,75.21,75.91,76.68,77.05,10.49,10.50,10.55,10.54,95.59,95.83,96.32,96.35,99.03,98.89,98.05,98.12,82.94,84.69,82.61,85.34,86.86,90.18,91.24,87.71,73.50,73.79,74.12,74.21,0.82,0.83,0.83,0.83,,,36,37,84.83,88.42,,88.01
,Kota Padang Panjang,79.82,89.58,87.05,81.46,6,6,6,6,70.01,63.97,58.86,69.25,826.83,857.31,755.82,790.00,79.28,79.76,80.60,81.32,11.78,11.87,11.94,12.01,98.47,98.28,98.37,98.45,99.03,98.99,99.35,94.48,79.02,80.40,81.28,89.69,77.42,76.31,79.57,84.62,74.03,74.24,74.48,74.86,0.83,0.83,0.84,0.84,,,26,40,89.72,90.27,,97.05
,Kota Bukittinggi,84.66,91.78,92.86,74.10,6,6,5,5,66.09,63.25,63.11,63.48,617.78,559.68,597.97,477.00,81.52,81.88,82.61,83.05,11.54,11.55,11.64,11.66,99.96,99.53,99.54,99.59,99.85,99.85,99.21,98.43,81.98,82.83,88.76,86.27,85.09,89.32,89.07,89.33,75.02,75.33,75.62,76.06,0.85,0.85,0.86,0.86,,,47,56,64.61,76.01,,82.75
,Kota Payakumbuh,81.73,88.56,89.33,86.74,6,6,6,6,54.99,52.31,47.57,48.84,4950.72,4942.93,4996.07,4305.00,79.70,80.14,80.76,81.62,10.77,10.84,10.85,11.08,98.70,98.60,98.96,98.99,98.18,98.80,97.52,93.91,78.97,80.01,80.55,83.14,87.10,87.75,87.93,92.34,74.48,74.77,75.08,75.54,0.84,0.84,0.85,0.85,,,70,76,78.88,80.56,,86.93
,Kota Pariaman,69.93,81.57,84.08,78.40,5,6,6,6,51.93,48.94,48.89,43.84,3161.96,3303.87,3236.93,2698.00,79.31,79.76,80.49,81.27,10.77,10.80,11.05,11.32,99.08,98.73,98.86,98.90,98.99,99.00,99.50,97.62,75.53,78.50,76.94,79.69,82.91,84.18,85.99,87.24,73.98,74.20,74.37,74.62,0.83,0.83,0.84,0.84,,,46,48,85.47,85.64,,92.54
Riau,Kuantan Singingi,70.70,68.94,73.80,72.84,5,5,5,5,44.26,41.89,47.05,40.08,4.83,6135.07,4964.49,4610.00,72.78,73.35,74.00,74.62,8.76,8.90,9.14,9.33,90.38,90.56,90.80,91.08,99.28,99.18,99.18,,84.07,85.05,85.14,,86.98,85.36,86.86,,72.45,72.68,72.96,73.34,0.81,0.81,0.81,0.82,,,150,166,53.76,63.25,,
,Indragiri Hulu,57.96,59.35,60.71,66.95,3,3,4,4,39.75,38.42,42.46,37.41,923.75,902.44,919.55,1042.00,71.69,72.28,72.75,73.48,8.40,8.42,8.43,8.62,86.86,87.32,87.75,88.11,98.40,98.40,98.39,,77.09,80.96,80.74,,84.63,85.43,86.09,,73.17,73.38,73.63,73.97,0.82,0.82,0.83,0.83,,,213,224,57.35,52.85,,
,Indragiri Hilir,68.38,69.29,69.30,65.81,5,5,4,4,41.58,36.97,35.97,34.79,13820.60,14306.71,15940.99,15815.00,69.12,69.64,70.07,70.74,7.26,7.31,7.32,7.49,82.73,83.28,83.76,84.69,99.99,99.50,99.59,,82.06,75.40,76.17,,56.32,57.13,60.86,,72.19,72.27,72.39,72.55,0.80,0.80,0.81,0.81,,,264,268,42.20,45.85,,
,Pelalawan,69.68,69.49,71.59,74.29,5,5,5,5,37.71,36.39,39.74,36.10,5022.75,5007.09,7690.02,6347.00,74.15,74.69,75.25,75.80,8.72,8.73,8.96,8.97,89.52,89.98,90.16,90.50,99.30,99.11,98.85,,77.73,79.66,79.30,,83.77,85.30,85.70,,74.16,74.37,74.63,74.98,0.83,0.84,0.84,0.85,,,107,113,42.75,55.35,,
,Siak,76.87,74.74,77.06,75.41,6,5,5,5,46.45,41.47,44.15,43.10,6342.51,6388.13,5886.27,8286.00,75.53,75.97,76.52,77.19,9.87,9.88,9.92,9.93,89.13,89.29,89.51,90.01,99.80,99.83,98.94,,83.24,86.74,85.16,,93.51,91.15,93.32,,73.52,73.72,73.98,74.34,0.82,0.83,0.83,0.84,,,187,191,54.14,63.02,,
,Kampar,56.28,57.59,59.69,72.24,3,3,5,5,42.88,41.99,41.01,36.94,2720.19,2532.35,2189.29,1447.00,75.21,75.59,76.29,76.97,9.39,9.40,9.58,9.78,90.28,90.48,90.91,91.66,98.49,99.05,99.18,,84.53,84.50,84.72,,82.97,86.40,87.82,,74.03,74.29,74.61,75.05,0.83,0.84,0.84,0.85,,,329,337,55.58,63.51,,
,Rokan Hulu,54.91,56.76,58.88,66.20,3,3,4,4,40.74,40.94,43.78,36.37,1435.83,1461.05,1225.5,2661.00,71.70,72.28,73.07,73.61,8.55,8.81,8.94,9.11,82.73,83.03,83.39,83.94,96.81,96.71,96.99,,82.54,84.86,86.22,,90.10,89.49,90.64,,73.56,73.59,73.67,73.79,0.82,0.82,0.83,0.83,,,190,207,31.69,43.23,,
,Bengkalis,62.61,61.68,65.75,79.83,4,4,6,6,40.96,44.48,38.67,40.09,3703.25,3813.31,3580.61,2788.00,75.38,75.96,76.37,77.02,9.71,9.73,9.74,9.93,90.50,90.34,90.47,90.97,98.97,99.15,98.35,,87.79,84.75,85.92,,86.99,91.11,92.63,,73.62,73.88,74.21,74.68,0.82,0.83,0.83,0.84,,,145,149,57.37,67.53,,
,Rokan Hilir,66.46,67.45,68.67,67.14,4,4,4,4,46.67,44.89,44.35,43.85,7383.53,7630.02,8169.71,12488.00,71.35,71.98,72.46,73.07,8.28,8.52,8.53,8.55,85.42,85.73,86.24,86.92,99.18,99.48,99.70,,72.53,72.91,71.32,,81.15,79.71,80.76,,73.46,73.64,73.87,74.18,0.82,0.83,0.83,0.83,,,191,192,40.85,41.94,,
,Kepulauan Meranti,68.06,70.47,71.15,61.91,5,5,4,4,31.49,29.47,32.71,38.55,1948.08,2250.14,2927.1,3342.00,68.31,68.96,69.64,70.20,7.88,7.99,8.12,8.13,87.03,87.41,87.50,87.67,91.62,93.98,94.83,,82.75,78.09,75.16,,57.03,57.67,61.31,,72.08,72.14,72.25,72.40,0.80,0.80,0.80,0.81,,,55,55,74.01,78.41,,
,Kota Pekanbaru,86.56,89.81,92.20,69.77,6,6,5,5,-,-,41.11,26.32,–,–,5.09,1.00,83.38,83.67,84.26,84.91,11.93,11.94,11.96,12.08,94.66,94.78,94.91,94.99,93.89,94.62,97.19,,75.46,78.41,81.68,,96.65,95.13,96.46,,75.29,75.55,75.89,76.37,0.85,0.85,0.86,0.87,,,193,214,67.44,71.09,,
,Kota Dumai,72.63,78.61,76.30,70.17,6,6,5,5,32.03,31.89,23.56,32.74,2927.55,1487.83,2923.35,675.00,76.20,76.45,77.03,77.58,10.15,10.16,10.29,10.30,90.91,91.12,91.63,92.16,98.86,98.84,98.85,,84.45,83.31,81.92,,91.44,95.50,97.98,,73.18,73.31,73.50,73.77,0.82,0.82,0.82,0.83,,,63,74,69.59,73.41,,
Jambi,Kerinci,81.94,82.42,83.76,69.90,6,6,5,5,52.43,51.94,53.14,55.82,16693.24,15761.71,16331.89,16755.00,73.24,73.77,74.33,75.10,8.57,8.59,8.60,8.76,87.11,87.33,87.74,87.90,99.70,99.27,96.64,99.03,87.36,78.76,77.58,83.90,68.10,68.98,66.37,,72.94,73.18,73.39,73.66,0.81,0.82,0.82,0.83,,,99,107,38.42,42.56,,54.65
,Merangin,71.02,71.66,75.01,74.69,5,5,5,5,40.39,39.97,38.36,39.80,5699.84,6078.99,5505.23,13430.00,70.98,71.81,72.65,73.41,7.91,8.13,8.40,8.41,88.84,89.27,89.37,89.94,98.51,99.21,99.34,96.89,76.25,81.01,80.01,74.91,75.70,81.15,82.03,,73.78,73.97,74.13,74.40,0.83,0.83,0.83,0.84,,,155,166,42.58,44.69,,54.73
,Sarolangun,64.47,64.01,65.64,75.12,4,4,5,5,38.63,40.02,41.16,39.84,3486.70,3207.78,3428.21,5490.00,72.66,73.05,73.76,74.72,8.12,8.14,8.35,8.60,91.61,91.70,92.40,92.44,99.38,99.25,97.13,98.94,77.24,77.68,80.34,75.45,79.14,79.79,82.34,,73.26,73.46,73.65,73.94,0.82,0.82,0.83,0.83,,,93,106,53.64,50.88,,63.47
,Batang Hari,70.52,70.79,74.13,76.96,5,5,5,5,39.88,40.35,37.85,41.19,5612.13,5059.19,5068.79,7252.00,71.99,72.50,73.12,73.94,8.21,8.22,8.35,8.41,86.03,86.24,86.71,87.05,97.72,98.56,97.54,97.43,81.66,83.54,84.95,85.57,80.26,82.86,85.37,,74.22,74.48,74.74,75.14,0.83,0.84,0.84,0.85,,,103,106,63.04,70.47,,72.45
,Muaro Jambi,65.37,65.90,68.51,79.30,4,4,6,6,39.06,36.07,33.73,37.18,4761.57,4798.8,5772.96,4894.00,71.41,72.26,73.11,73.87,8.59,8.69,8.70,8.72,82.16,82.75,83.18,83.72,99.93,99.74,99.47,95.78,80.15,84.45,85.95,79.05,83.36,85.66,87.11,,74.33,74.55,74.75,75.06,0.84,0.84,0.84,0.85,,,147,159,50.09,49.55,,57.98
,Tanjung Jabung Timur,70.65,71.22,69.99,78.71,5,5,6,6,38.14,39.54,38.88,42.54,6440.25,5856.68,6903.29,8124.00,68.96,69.85,70.77,71.28,7.19,7.43,7.70,7.71,88.22,88.48,88.79,89.18,99.47,99.96,99.79,97.60,81.89,76.58,75.92,74.42,69.75,74.96,74.72,,73.78,74.09,74.37,74.82,0.83,0.83,0.84,0.84,,,91,96,41.59,40.24,,55.46
,Tanjung Jabung Barat,69.66,63.59,69.60,75.04,5,4,5,5,41.02,41.34,46.81,46.31,3495.35,5993.14,5946.2,7564.00,70.88,71.44,72.01,73.00,8.18,8.31,8.32,8.54,86.18,86.71,86.80,87.06,99.40,99.38,97.66,97.97,81.59,81.71,81.88,86.70,73.53,77.87,78.32,,72.99,73.21,73.41,73.75,0.82,0.82,0.82,0.83,,,121,132,42.76,46.70,,54.58
,Tebo,70.52,70.89,71.36,72.09,5,5,5,5,48.08,46.08,46.24,42.06,4068.71,4242.92,3548.18,6646.00,71.14,71.99,72.67,73.41,7.70,7.94,8.04,8.05,91.04,91.95,92.24,92.43,99.91,98.94,98.47,96.66,78.51,82.23,80.82,79.49,78.29,80.69,85.89,,73.25,73.45,73.62,73.88,0.82,0.82,0.82,0.83,,,103,105,38.97,43.98,,46.15
,Bungo,62.93,65.60,73.39,78.52,4,4,6,6,41.55,41.79,43.98,44.22,4118.39,5008.27,3607.03,5394.00,73.08,73.57,74.44,75.15,8.29,8.39,8.60,8.61,88.90,89.25,89.46,89.95,99.32,99.26,97.40,98.34,79.33,81.34,81.56,71.76,79.59,83.86,86.16,,73.49,73.76,74.02,74.35,0.82,0.83,0.83,0.84,,,117,129,41.97,50.13,,57.46
,Kota Jambi,77.50,84.66,85.88,76.94,6,6,5,5,42.09,40.08,41.85,46.12,308.55,332.08,340.59,414.00,80.38,80.93,81.77,82.32,11.21,11.32,11.51,11.59,95.63,95.64,95.72,96.32,99.68,99.62,97.83,93.98,77.57,75.46,71.71,76.75,92.82,98.08,96.72,,74.61,74.85,75.12,75.53,0.84,0.84,0.85,0.85,,,149,175,69.45,69.82,,78.96
,Kota Sungai Penuh,59.92,83.14,87.06,83.19,4,6,6,6,61.28,61.32,61.81,62.56,5854.86,5038.55,5173.3,4411.00,76.75,77.20,77.93,78.89,10.34,10.36,10.48,10.75,94.95,95.03,95.17,95.70,98.94,98.55,98.58,99.19,89.42,84.44,86.09,84.71,77.72,83.52,80.56,,73.73,74.01,74.29,74.70,0.83,0.83,0.84,0.84,,,32,41,74.85,76.32,,73.11
Sumatera Selatan,Ogan Komering Ulu,71.10,74.36,73.01,73.24,5,5,5,5,46.02,47.37,46.94,47.14,2995.52,2946.14,2703.43,5477.00,72.41,73.17,73.70,74.47,9.05,9.19,8.86,9.07,94.11,94.66,94.80,94.71,93.69,98.79,98.78,93.69,75.23,79.50,79.13,66.56,84.39,80.78,82.72,,73.19,73.44,73.59,73.97,0.82,0.82,0.82,0.83,,,89,90,43.30,46.98,,63.02
,Ogan Komering Ilir,75.89,79.04,79.54,80.38,6,6,6,6,54.30,58.37,59.17,62.49,98450.44,90098.11,97822.25,106758.00,70.17,70.80,71.48,72.20,7.51,7.57,7.19,7.49,92.50,92.92,93.22,93.47,96.83,97.11,95.65,96.83,77.67,78.26,73.89,73.81,63.95,69.73,65.54,,73.81,74.09,74.23,74.47,0.83,0.83,0.83,0.84,,,178,180,28.11,37.42,,43.34
,Muara Enim,71.29,73.22,75.62,82.78,5,5,6,6,45.62,51.00,51.11,53.87,12198.51,11528.06,12516.06,16990.00,71.52,72.33,73.10,73.77,8.42,8.53,8.27,8.45,90.55,90.47,90.87,91.75,96.15,95.92,94.27,96.15,76.62,76.89,76.86,74.90,84.16,85.58,86.54,,73.97,74.29,74.49,74.82,0.83,0.84,0.84,0.84,,,146,158,66.43,69.23,,91.58
,Lahat,72.00,72.87,75.19,76.16,5,5,5,5,51.93,51.40,50.97,53.65,14355.48,13409.56,12535.44,15461.00,71.45,72.15,72.83,73.75,8.94,8.89,8.69,9.03,94.90,95.10,95.42,95.62,95.53,96.69,96.12,95.53,84.18,81.73,80.68,69.80,70.35,70.19,69.27,,73.02,73.36,73.58,73.93,0.82,0.82,0.82,0.83,,,100,100,73.31,69.25,,81.27
,Musi Rawas,77.38,79.56,77.66,82.33,6,6,6,6,55.60,57.45,58.33,60.76,17987.67,18686.2,19898.95,23717.00,70.04,70.52,71.21,71.92,7.91,8.00,7.57,7.61,86.47,87.03,87.34,87.36,95.92,98.05,97.03,95.92,81.98,72.73,72.53,79.50,73.69,74.50,70.98,,73.65,73.96,74.16,74.45,0.83,0.83,0.83,0.84,,,144,160,45.18,52.91,,64.49
,Musi Banyuasin,77.89,79.09,79.48,78.75,6,6,6,6,48.80,53.66,49.64,53.74,29601.57,26671.04,25001.15,32464.00,70.73,71.30,72.27,73.17,8.06,8.28,7.95,8.29,83.47,84.05,84.44,84.77,96.19,98.06,96.96,96.19,76.04,80.84,81.37,73.04,80.71,83.52,79.03,,73.92,74.22,74.42,74.72,0.83,0.83,0.84,0.84,,,185,190,39.11,55.98,,66.65
,Banyu Asin,77.97,78.91,79.17,83.95,6,6,6,6,50.42,51.81,51.18,51.14,177999.36,177666.5,185231.71,230280.00,69.95,70.67,71.55,72.42,7.71,7.69,7.48,7.65,89.59,90.18,90.62,91.10,97.38,99.68,99.57,97.38,78.36,80.47,80.55,71.77,72.80,74.53,61.51,,73.98,74.29,74.47,74.73,0.83,0.84,0.84,0.84,,,171,174,30.29,44.40,,53.10
,Ogan Komering Ulu Selatan,74.46,76.15,75.37,76.19,5,6,5,5,55.90,59.57,62.30,55.82,7013.50,7899.24,7646.4,13831.00,68.33,69.05,70.00,70.98,8.31,8.53,8.25,8.48,92.52,92.67,92.74,93.45,98.74,99.60,99.57,98.74,80.20,80.14,72.35,79.89,57.54,63.20,59.80,,72.88,73.21,73.44,73.74,0.81,0.82,0.82,0.83,,,67,70,32.56,34.95,,46.09
,Ogan Komering Ulu Timur,81.01,84.52,85.17,81.76,6,6,6,6,64.91,67.19,65.65,66.83,108075.32,106700.37,111431.99,138174.00,72.33,73.05,73.64,74.42,8.36,8.43,8.08,8.13,94.89,95.27,95.60,95.65,97.53,99.76,99.83,97.53,76.58,81.21,81.22,79.75,87.48,88.25,88.91,,74.04,74.31,74.51,74.80,0.83,0.84,0.84,0.84,,,147,166,33.76,47.79,,63.09
,Ogan Ilir,73.28,76.32,77.55,73.27,5,6,5,5,49.61,46.82,49.77,48.64,21150.62,21654.29,20507.92,24984.00,71.20,72.01,72.67,73.21,8.47,8.58,8.09,8.16,99.11,99.24,99.29,99.40,98.32,97.62,96.84,98.32,74.37,76.84,75.86,77.93,71.55,76.17,75.12,,72.86,73.20,73.43,73.78,0.81,0.82,0.82,0.83,,,62,65,65.05,67.00,,74.19
,Empat Lawang,65.25,69.27,67.42,72.08,4,5,5,5,45.76,48.68,49.12,48.79,8672.60,10415.7,9014.59,9626.00,68.39,69.07,69.63,70.56,7.71,7.91,7.68,8.02,93.60,93.81,93.90,93.93,97.78,99.10,99.14,97.78,84.65,83.88,75.62,70.91,66.93,67.81,39.84,,70.55,70.81,70.93,71.14,0.78,0.78,0.78,0.79,,,31,34,48.45,49.22,,56.84
,Penukal Abab Lematang Ilir,72.46,73.71,78.79,80.03,5,5,6,6,42.31,43.90,43.07,49.43,5334.75,5801.04,6142.9,6835.00,67.89,68.78,69.63,70.55,7.78,7.72,7.27,7.42,93.80,94.18,94.18,94.46,93.33,99.53,99.53,93.33,88.98,86.85,82.91,78.56,89.40,95.22,95.72,,73.56,73.84,74.02,74.33,0.82,0.83,0.83,0.84,,,45,42,67.21,84.61,,95.81
,Musi Rawas Utara,59.23,60.31,59.58,72.92,3,4,5,5,41.81,44.57,39.19,44.66,2943.14,2686.74,2663.38,2435.00,68.76,69.63,70.45,71.39,7.86,8.22,7.51,7.80,93.21,93.15,92.96,92.75,97.16,96.47,94.61,97.16,85.81,74.94,72.69,75.31,65.73,68.57,69.95,,72.73,73.01,73.17,73.46,0.81,0.82,0.82,0.82,,,72,75,40.88,63.57,,73.03
,Kota Palembang,74.71,83.29,83.62,80.56,6,6,6,6,46.67,49.39,45.58,53.00,2371.64,3097.77,2654.85,4100.00,81.19,81.72,82.29,83.27,11.05,10.99,10.93,11.25,97.14,97.46,97.67,97.74,93.30,97.98,97.99,93.30,75.10,79.52,77.81,72.64,92.66,95.16,94.29,,74.91,75.37,75.77,76.26,0.84,0.85,0.86,0.87,,,259,294,69.94,76.90,,85.19
,Kota Prabumulih,59.71,68.83,68.11,73.57,4,5,5,5,39.96,44.36,38.55,44.79,35.82,35.82,46.78,193.00,77.14,78.07,78.68,79.17,10.34,10.47,10.36,10.37,94.62,94.47,94.95,95.61,93.99,99.24,97.70,93.99,93.10,75.26,71.09,77.61,97.61,96.44,95.83,,74.22,74.58,74.87,75.33,0.83,0.84,0.84,0.85,,,65,70,72.58,76.16,,75.37
,Kota Pagar Alam,46.47,59.17,57.79,83.59,3,4,6,6,56.70,52.23,50.77,54.00,2966.59,3581.61,3674.32,3636.00,72.40,73.25,74.00,74.92,9.45,9.63,9.44,9.78,95.13,95.41,95.63,95.86,98.54,98.60,98.65,98.54,88.59,76.72,78.00,72.94,62.11,61.28,53.94,,73.22,73.61,73.88,74.18,0.82,0.82,0.83,0.83,,,40,45,48.44,52.26,,60.66
,Kota Lubuklinggau,53.71,66.26,66.10,79.26,4,5,6,6,52.07,52.81,52.26,54.48,1225.67,1264.84,1600.08,1356.00,77.71,78.36,78.98,79.94,9.51,9.56,9.94,10.15,96.53,96.30,96.21,96.43,94.67,96.24,95.08,94.67,78.42,78.40,73.23,73.71,87.64,86.05,86.84,,74.27,74.67,74.97,75.46,0.83,0.84,0.85,0.85,,,82,78,66.86,76.19,,87.07
Bengkulu,Bengkulu Selatan,73.67,74.63,74.91,74.73,5,5,5,5,47.28,48.68,44.98,49.94,10624.83,10502.94,9849.08,11092.00,73.58,74.06,74.53,75.32,9.39,9.41,9.42,9.60,94.68,94.83,94.89,95.34,,,,,,,,,84.09,83.81,84.42,,72.67,72.87,73.05,73.32,0.81,0.81,0.82,0.82,,,85,86,73.75,78.35,,87.65
,Rejang Lebong,66.68,72.67,73.11,71.35,4,5,5,5,46.39,49.22,46.86,53.34,7739.13,7724.18,6107.11,4596.00,73.54,74.43,75.04,75.87,8.55,8.80,8.81,9.05,94.16,94.67,94.83,95.16,,,,,,,,,70.20,64.41,71.81,,73.44,73.67,73.87,74.17,0.82,0.83,0.83,0.83,,,83,81,44.86,49.12,,61.74
,Bengkulu Utara,58.31,70.74,72.62,66.94,3,5,4,4,48.22,46.95,43.79,47.34,4091.17,4180.94,3333.85,3577.00,71.76,72.27,73.10,73.56,8.10,8.11,8.32,8.35,91.39,91.60,91.81,92.35,,,,,,,,,83.44,82.84,85.53,,72.81,73.03,73.23,73.52,0.81,0.82,0.82,0.82,,,140,144,60.18,57.28,,68.21
,Kaur,71.51,73.90,74.75,65.97,5,5,4,4,47.26,41.56,43.33,48.88,5122.53,6209.32,6541,4541.00,70.30,70.92,71.53,72.45,8.39,8.41,8.47,8.71,87.69,87.82,87.83,88.22,,,,,,,,,81.23,86.43,87.01,,72.49,72.74,72.97,73.31,0.81,0.81,0.81,0.82,,,52,45,65.95,73.41,,75.82
,Seluma,68.54,71.64,71.61,71.98,5,5,5,5,40.55,46.13,44.37,46.92,10749.83,9458.28,9978.71,8720.00,69.74,70.27,70.98,71.85,8.09,8.13,8.14,8.34,86.27,86.38,86.48,86.87,,,,,,,,,86.16,87.17,88.75,,72.49,72.71,72.90,73.19,0.81,0.81,0.81,0.82,,,86,92,72.02,79.66,,85.00
,Mukomuko,71.78,76.63,76.57,76.10,5,6,5,5,57.36,53.80,57.82,59.67,5469.03,4875.43,4928.32,5320.00,72.15,73.00,73.65,74.45,8.31,8.56,8.57,8.65,84.56,85.29,85.61,86.07,,,,,,,,,79.12,80.94,85.82,,73.44,73.71,73.95,74.31,0.82,0.83,0.83,0.84,,,94,100,55.53,61.07,,68.08
,Lebong,74.86,75.84,77.06,74.80,5,6,5,5,65.21,60.51,62.48,59.82,7746.20,8812.85,9496.49,7858.00,72.35,72.95,73.54,74.10,8.24,8.26,8.41,8.48,92.11,92.30,92.35,92.65,,,,,,,,,51.92,55.62,59.38,,72.34,72.59,72.81,73.10,0.81,0.81,0.81,0.82,,,50,39,50.49,60.81,,72.53
,Kepahiang,67.14,69.41,72.43,69.71,4,5,5,5,48.50,50.96,45.89,49.18,3089.82,3715,3970.62,3377.00,70.85,71.38,72.05,72.96,8.30,8.36,8.37,8.61,96.18,96.09,96.16,96.34,,,,,,,,,64.58,69.25,69.81,,72.07,72.26,72.41,72.61,0.80,0.80,0.81,0.81,,,58,62,51.31,64.89,,72.00
,Bengkulu Tengah,62.12,61.54,62.14,72.85,4,4,5,5,39.69,39.81,36.48,44.65,1328.18,1300.66,815.09,1715.00,70.29,70.81,71.67,72.48,7.49,7.51,7.71,7.94,87.22,87.32,87.51,88.19,,,,,,,,,74.65,83.07,83.17,,72.33,72.46,72.56,72.71,0.81,0.81,0.81,0.81,,,70,69,69.48,78.82,,81.84
,Kota Bengkulu,65.29,75.68,78.72,63.79,5,6,4,4,48.78,43.80,48.94,42.05,1191.12,1097.58,754.81,859.00,82.93,83.38,83.95,84.59,11.82,11.83,11.84,11.95,96.75,96.85,96.95,97.36,,,,,,,,,94.49,93.94,96.15,,74.18,74.43,74.69,75.14,0.83,0.84,0.84,0.85,,,145,150,77.25,80.64,,83.49
Lampung,Lampung Barat,74.34,75.39,76.18,77.15,5,5,5,5,48.19,52.48,47.03,51.36,13032.88,13513.57,13405.25,11638.00,71.01,71.72,72.41,73.14,8.20,8.36,8.56,8.57,93.74,93.92,94.06,94.28,,,,,,,,,83.75,83.95,84.40,83.19,73.63,73.78,73.96,74.24,0.83,0.83,0.83,0.83,,,99,102,47.17,59.01,,58.08
,Tanggamus,73.60,74.19,76.40,67.77,5,5,4,4,57.03,57.87,56.39,57.15,22563.40,25430.89,23943.52,25801.00,69.32,69.93,70.54,71.36,7.35,7.36,7.38,7.63,91.53,91.77,91.99,92.82,,,,,,,,,63.99,67.82,70.82,75.13,73.69,73.87,74.08,74.39,0.83,0.83,0.83,0.84,,,136,140,61.62,61.33,,84.71
,Lampung Selatan,81.81,85.46,84.46,82.23,6,6,6,6,60.28,56.28,54.91,60.63,56393.41,52334.35,57884.73,76006.00,70.95,71.55,72.15,73.10,7.72,7.77,7.78,7.98,90.28,90.56,90.80,91.18,,,,,,,,,94.29,95.58,96.40,96.41,74.03,74.22,74.46,74.84,0.83,0.83,0.84,0.84,,,235,246,61.31,66.42,,66.71
,Lampung Timur,82.78,83.55,85.22,66.39,6,6,4,4,48.99,50.57,51.72,53.68,91718.06,94070.36,93339.53,98026.00,71.82,72.44,73.05,73.92,8.04,8.14,8.20,8.46,89.60,90.07,90.10,90.42,,,,,,,,,85.27,84.16,86.38,88.94,73.75,73.95,74.19,74.54,0.83,0.83,0.83,0.84,,,249,253,52.61,56.55,,58.33
,Lampung Tengah,81.07,84.55,84.93,72.10,6,6,5,5,55.76,56.23,57.01,56.98,101612.69,108129.91,107704.78,121929.00,72.59,73.39,74.16,74.86,7.64,7.81,7.97,8.17,90.56,90.61,90.89,91.38,,,,,,,,,81.25,80.20,82.55,86.78,73.99,74.17,74.38,74.70,0.83,0.83,0.84,0.84,,,348,344,49.00,51.72,,60.36
,Lampung Utara,75.00,74.94,76.82,68.21,5,5,4,4,46.30,40.59,41.86,45.28,13705.47,17834.92,15092.55,23689.00,70.19,70.78,71.42,72.28,8.35,8.36,8.38,8.63,90.08,90.28,90.55,90.86,,,,,,,,,80.82,80.23,77.74,77.23,73.73,73.91,74.12,74.41,0.83,0.83,0.83,0.84,,,186,189,61.54,62.88,,74.98
